reviewid,artist,url,p_score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year,genre,album,year,m_critic_score,m_user_score,comment
22634,bruno mars,http://pitchfork.com/reviews/albums/22634-24k-magic/,6.2,0,katherine st. asaph,contributor,2016-12-02,4,2,12,2016,pop/r&b,24k magic,"Nov 18, 2016",70.0,6.3,
22668,the weeknd,http://pitchfork.com/reviews/albums/22668-starboy/,6.7,0,mehan jayasuriya,contributor,2016-11-30,2,30,11,2016,pop/r&b,starboy,"Nov 25, 2016",67.0,7.9,
22648,dawn richard,http://pitchfork.com/reviews/albums/22648-redemption/,8.0,0,brad nelson,contributor,2016-11-26,5,26,11,2016,pop/r&b,redemption,"Nov 18, 2016",77.0,8.3,
22622,jeff rosenstock,http://pitchfork.com/reviews/albums/22622-worry/,8.0,0,ian cohen,contributor,2016-11-23,2,23,11,2016,rock,worry.,"Oct 14, 2016",80.0,8.6,
22625,thee oh sees,http://pitchfork.com/reviews/albums/22625-an-odd-entrances/,6.7,0,evan rytlewski,contributor,2016-11-18,4,18,11,2016,rock,an odd entrances,"Nov 18, 2016",70.0,7.6,
22611,sad13,http://pitchfork.com/reviews/albums/22611-slugger/,7.4,0,quinn moreland,assistant editor,2016-11-17,3,17,11,2016,pop/r&b,slugger,"Nov 11, 2016",79.0,6.8,
22617,animals as leaders,http://pitchfork.com/reviews/albums/22617-the-madness-of-many/,6.4,0,sam sodomsky,associate staff writer,2016-11-17,3,17,11,2016,metal,the madness of many,"Nov 11, 2016",72.0,8.5,
22582,alicia keys,http://pitchfork.com/reviews/albums/22582-here/,6.5,0,vanessa okoth-obbo,contributor,2016-11-10,3,10,11,2016,pop/r&b,here,"Nov 4, 2016",76.0,8.5,
22571,sleigh bells,http://pitchfork.com/reviews/albums/22571-jessica-rabbit/,5.9,0,evan rytlewski,contributor,2016-11-08,1,8,11,2016,pop/r&b,jessica rabbit,"Nov 11, 2016",72.0,8.4,
22586,jeezy,http://pitchfork.com/reviews/albums/22586-trap-or-die-3/,6.0,0,evan rytlewski,contributor,2016-11-08,1,8,11,2016,rap,trap or die 3,"Oct 28, 2016",70.0,6.0,
22587,shirley collins,http://pitchfork.com/reviews/albums/22587-lodestar/,8.0,0,louis pattison,contributor,2016-11-08,1,8,11,2016,folk/country,lodestar,"Nov 4, 2016",82.0,4.8,
22464,soft hair,http://pitchfork.com/reviews/albums/22464-soft-hair/,6.8,0,andy beta,contributor,2016-11-08,1,8,11,2016,pop/r&b,soft hair,"Oct 28, 2016",68.0,6.4,
22570,jim james,http://pitchfork.com/reviews/albums/22570-eternally-even/,7.9,0,ryan leas,,2016-11-07,0,7,11,2016,rock,eternally even,"Nov 4, 2016",78.0,7.9,
22540,the dillinger escape plan,http://pitchfork.com/reviews/albums/22540-dissociation/,6.9,0,saby reyes-kulkarni,contributor,2016-11-02,2,2,11,2016,metal,dissociation,"Oct 14, 2016",86.0,8.1,
22578,tove lo,http://pitchfork.com/reviews/albums/22578-lady-wood/,7.0,0,katherine st. asaph,contributor,2016-11-01,1,1,11,2016,pop/r&b,lady wood,"Oct 28, 2016",74.0,8.7,
22498,lambchop,http://pitchfork.com/reviews/albums/22498-flotus/,8.0,0,sam sodomsky,associate staff writer,2016-10-31,0,31,10,2016,rock,flotus,"Nov 4, 2016",83.0,8.1,
22551,the radio dept.,http://pitchfork.com/reviews/albums/22551-running-out-of-love/,7.6,0,cameron cook,contributor,2016-10-28,4,28,10,2016,pop/r&b,running out of love,"Oct 21, 2016",82.0,7.6,
22548,crying,http://pitchfork.com/reviews/albums/22548-beyond-the-fleeting-gales/,7.1,0,colin joyce,contributor,2016-10-26,2,26,10,2016,electronic,beyond the fleeting gales,"Oct 14, 2016",76.0,7.5,
22324,tanya tagaq,http://pitchfork.com/reviews/albums/22324-retribution/,8.2,0,stuart berman,contributor,2016-10-25,1,25,10,2016,rock,retribution,"Oct 21, 2016",80.0,7.4,
22514,leonard cohen,http://pitchfork.com/reviews/albums/22514-you-want-it-darker/,8.5,1,stacey anderson,associate features editor,2016-10-24,0,24,10,2016,rock,you want it darker,"Oct 21, 2016",92.0,8.2,
22378,jimmy eat world,http://pitchfork.com/reviews/albums/22378-integrity-blues/,7.3,0,ian cohen,contributor,2016-10-22,5,22,10,2016,rock,integrity blues,"Oct 21, 2016",76.0,7.6,
22503,meshuggah,http://pitchfork.com/reviews/albums/22503-the-violent-sleep-of-reason/,6.5,0,saby reyes-kulkarni,contributor,2016-10-22,5,22,10,2016,metal,the violent sleep of reason,"Oct 7, 2016",83.0,8.4,
22522,gucci mane,http://pitchfork.com/reviews/albums/22522-woptober/,7.5,0,israel daramola,contributor,2016-10-21,4,21,10,2016,rap,woptober,"Oct 14, 2016",69.0,7.4,
22521,kings of leon,http://pitchfork.com/reviews/albums/22521-walls/,4.5,0,ryan leas,,2016-10-20,3,20,10,2016,rock,walls,"Oct 14, 2016",62.0,6.6,
22512,katie gately,http://pitchfork.com/reviews/albums/22512-color/,7.3,0,claire lobenfeld,contributor,2016-10-20,3,20,10,2016,electronic,color,"Oct 14, 2016",78.0,8.3,
22508,jagwar ma,http://pitchfork.com/reviews/albums/22508-every-now-then/,6.9,0,nathan reese,contributor,2016-10-20,3,20,10,2016,rock,every now & then,"Oct 14, 2016",72.0,7.4,
22463,weyes blood,http://pitchfork.com/reviews/albums/22463-front-row-seat-to-earth/,8.3,1,jillian mapes,senior editor,2016-10-19,2,19,10,2016,rock,front row seat to earth,"Oct 21, 2016",82.0,7.9,
22412,powell,http://pitchfork.com/reviews/albums/22412-sport/,8.1,0,philip sherburne,contributing editor,2016-10-19,2,19,10,2016,electronic,sport,"Oct 14, 2016",72.0,7.5,
22389,nxworries,http://pitchfork.com/reviews/albums/22389-yes-lawd/,8.2,1,jonah bromwich,contributor,2016-10-18,1,18,10,2016,pop/r&b,yes lawd!,"Oct 21, 2016",80.0,8.3,
22499,regina spektor,http://pitchfork.com/reviews/albums/22499-remember-us-to-life/,6.6,0,katherine st. asaph,contributor,2016-10-18,1,18,10,2016,rock,remember us to life,"Sep 30, 2016",70.0,8.3,
22391,swet shop boys,http://pitchfork.com/reviews/albums/22391-cashmere/,7.4,0,mehan jayasuriya,contributor,2016-10-13,3,13,10,2016,rap,cashmere,"Oct 14, 2016",80.0,8.2,
22488,conor oberst,http://pitchfork.com/reviews/albums/22488-ruminations/,7.5,0,ian cohen,contributor,2016-10-12,2,12,10,2016,rock,ruminations,"Oct 14, 2016",76.0,8.4,
22477,joyce manor,http://pitchfork.com/reviews/albums/22477-cody/,7.7,0,quinn moreland,assistant editor,2016-10-12,2,12,10,2016,rock,cody,"Oct 7, 2016",79.0,7.3,
22489,banks,http://pitchfork.com/reviews/albums/22489-the-altar/,5.1,0,katherine st. asaph,contributor,2016-10-12,2,12,10,2016,pop/r&b,the altar,"Sep 30, 2016",70.0,8.7,
22323,hiss golden messenger,http://pitchfork.com/reviews/albums/22323-heart-like-a-levee/,8.2,0,laura snapes,contributor,2016-10-11,1,11,10,2016,folk/country,heart like a levee,"Oct 7, 2016",81.0,7.8,
22474,green day,http://pitchfork.com/reviews/albums/22474-green-day-revolution-radio/,5.1,0,brad nelson,contributor,2016-10-10,0,10,10,2016,rock,revolution radio,"Oct 7, 2016",72.0,7.9,
22466,opeth,http://pitchfork.com/reviews/albums/22466-sorceress/,6.7,0,andy o'connor,contributor,2016-10-08,5,8,10,2016,metal,sorceress,"Sep 30, 2016",81.0,7.7,
22471,phantogram,http://pitchfork.com/reviews/albums/22471-three/,5.8,0,zoe camp,contributor,2016-10-07,4,7,10,2016,pop/r&b,three,"Oct 7, 2016",64.0,7.6,
22437,pixies,http://pitchfork.com/reviews/albums/22437-head-carrier/,5.5,0,stuart berman,contributor,2016-10-06,3,6,10,2016,rock,head carrier,"Sep 30, 2016",64.0,7.2,
22476,neurosis,http://pitchfork.com/reviews/albums/22476-fires-within-fires/,7.1,0,jason heller,contributor,2016-10-06,3,6,10,2016,metal,fires within fires,"Sep 23, 2016",85.0,7.3,
22472,yves tumor,http://pitchfork.com/reviews/albums/22472-serpent-music/,7.3,0,andy beta,contributor,2016-10-06,3,6,10,2016,experimental,serpent music,"Sep 30, 2016",77.0,6.6,
22482,solange,http://pitchfork.com/reviews/albums/22482-a-seat-at-the-table/,8.7,1,julianne escobedo shepherd,contributor,2016-10-05,2,5,10,2016,pop/r&b,a seat at the table,"Sep 30, 2016",89.0,8.4,
22314,jenny hval,http://pitchfork.com/reviews/albums/22314-blood-bitch/,8.3,1,jenn pelly,associate reviews editor,2016-10-04,1,4,10,2016,experimental,blood bitch,"Sep 30, 2016",84.0,7.9,
22468,danny brown,http://pitchfork.com/reviews/albums/22468-atrocity-exhibition/,8.5,1,matthew ramirez,contributor,2016-10-03,0,3,10,2016,rap,atrocity exhibition,"Sep 27, 2016",85.0,8.7,
22430,s u r v i v e,http://pitchfork.com/reviews/albums/22430-rr7349/,7.4,0,cameron cook,contributor,2016-10-01,5,1,10,2016,electronic,rr7349,"Sep 30, 2016",81.0,7.8,
22420,bon iver,http://pitchfork.com/reviews/albums/22420-22-a-million/,9.0,1,amanda petrusich,contributor,2016-09-30,4,30,9,2016,rock,"22, a million","Sep 30, 2016",87.0,8.3,
22444,nicolas jaar,http://pitchfork.com/reviews/albums/22444-sirens/,8.7,1,jonah bromwich,contributor,2016-09-29,3,29,9,2016,electronic,sirens,"Sep 30, 2016",79.0,8.0,
22426,warpaint,http://pitchfork.com/reviews/albums/22426-heads-up/,6.7,0,saby reyes-kulkarni,contributor,2016-09-29,3,29,9,2016,rock,heads up,"Sep 23, 2016",74.0,7.4,
22431,mick jenkins,http://pitchfork.com/reviews/albums/22431-the-healing-component/,7.6,0,dean van nguyen,contributor,2016-09-28,2,28,9,2016,rap,the healing component,"Sep 23, 2016",79.0,7.5,
22432,flock of dimes,http://pitchfork.com/reviews/albums/22432-if-you-see-me-say-yes/,7.0,0,evan rytlewski,contributor,2016-09-28,2,28,9,2016,rock,"if you see me, say yes","Sep 23, 2016",83.0,7.5,
22427,lvl up,http://pitchfork.com/reviews/albums/22427-return-to-love/,7.3,0,colin joyce,contributor,2016-09-28,2,28,9,2016,rock,return to love,"Sep 23, 2016",78.0,7.5,
22423,devendra banhart,http://pitchfork.com/reviews/albums/22423-ape-in-pink-marble/,6.6,0,sam sodomsky,associate staff writer,2016-09-27,1,27,9,2016,folk/country,ape in pink marble,"Sep 23, 2016",78.0,6.9,
22370,beach slang,http://pitchfork.com/reviews/albums/22370-a-loud-bash-of-teenage-feelings/,7.3,0,ian cohen,contributor,2016-09-26,0,26,9,2016,rock,a loud bash of teenage feelings,"Sep 23, 2016",80.0,7.1,
22400,alunageorge,http://pitchfork.com/reviews/albums/22400-i-remember/,6.6,0,stacey anderson,associate features editor,2016-09-26,0,26,9,2016,pop/r&b,i remember,"Sep 16, 2016",70.0,8.1,
22419,against me!,http://pitchfork.com/reviews/albums/22419-shape-shift-with-me/,7.4,0,brad nelson,contributor,2016-09-24,5,24,9,2016,rock,shape shift with me,"Sep 16, 2016",79.0,7.2,
22405,local natives,http://pitchfork.com/reviews/albums/22405-sunlit-youth/,6.3,0,ryan leas,,2016-09-23,4,23,9,2016,rock,sunlit youth,"Sep 9, 2016",75.0,8.2,
22399,mykki blanco,http://pitchfork.com/reviews/albums/22399-mykki/,7.7,0,stacey anderson,associate features editor,2016-09-23,4,23,9,2016,rap,mykki,"Sep 16, 2016",77.0,6.9,
22409,bruce springsteen,http://pitchfork.com/reviews/albums/22409-chapter-and-verse/,7.5,0,sam sodomsky,associate staff writer,2016-09-22,3,22,9,2016,rock,chapter and verse,"Sep 23, 2016",78.0,5.5,
22421,die antwoord,http://pitchfork.com/reviews/albums/22421-mount-ninji-and-da-nice-time-kid/,6.1,0,saby reyes-kulkarni,contributor,2016-09-22,3,22,9,2016,rap,mount ninji and da nice time kid,"Sep 16, 2016",55.0,6.1,
22418,usher,http://pitchfork.com/reviews/albums/22418-hard-ii-love/,6.6,0,rebecca haithcoat,contributor,2016-09-21,2,21,9,2016,pop/r&b,hard ii love,"Sep 16, 2016",74.0,7.7,
22407,preoccupations,http://pitchfork.com/reviews/albums/22407-preoccupations/,7.9,0,marc masters,contributor,2016-09-19,0,19,9,2016,rock,preoccupations,"Sep 16, 2016",79.0,8.3,
22397,cymbals eat guitars,http://pitchfork.com/reviews/albums/22397-cymbals-eat-guitars-pretty-years/,8.0,0,evan rytlewski,contributor,2016-09-16,4,16,9,2016,rock,pretty years,"Sep 16, 2016",80.0,7.6,
22306,el perro del mar,http://pitchfork.com/reviews/albums/22306-kokoro/,7.1,0,benjamin scheim,contributor,2016-09-14,2,14,9,2016,rock,kokoro,"Sep 16, 2016",80.0,6.8,
22350,jack white,http://pitchfork.com/reviews/albums/22350-jack-white-acoustic-recordings-1998-2016/,8.0,0,stuart berman,contributor,2016-09-12,0,12,9,2016,rock,acoustic recordings 1998-2016,"Sep 9, 2016",81.0,7.5,
22288,okkervil river,http://pitchfork.com/reviews/albums/22288-away/,7.0,0,evan rytlewski,contributor,2016-09-10,5,10,9,2016,rock,away,"Sep 9, 2016",78.0,8.3,
22355,wilco,http://pitchfork.com/reviews/albums/22355-schmilco/,7.0,0,sam sodomsky,associate staff writer,2016-09-09,4,9,9,2016,rock,schmilco,"Sep 9, 2016",79.0,7.9,
22361,travis scott,http://pitchfork.com/reviews/albums/22361-travis-scott-birds-in-the-trap-sing-mcknight/,7.2,0,matthew strauss,associate editor,2016-09-08,3,8,9,2016,rap,birds in the trap sing mcknight,"Sep 2, 2016",64.0,7.8,
22281,eluvium,http://pitchfork.com/reviews/albums/22281-false-readings-on/,7.0,0,brian howe,contributor,2016-09-07,2,7,9,2016,electronic,false readings on,"Sep 2, 2016",81.0,7.5,
22322,zomby,http://pitchfork.com/reviews/albums/22322-ultra/,7.9,0,philip sherburne,contributing editor,2016-09-06,1,6,9,2016,electronic,ultra,"Sep 2, 2016",71.0,6.0,
22287,teenage fanclub,http://pitchfork.com/reviews/albums/22287-here/,7.8,0,sam sodomsky,associate staff writer,2016-09-06,1,6,9,2016,rock,here,"Sep 9, 2016",79.0,7.8,
22282,angel olsen,http://pitchfork.com/reviews/albums/22282-my-woman/,8.8,1,jenn pelly,associate reviews editor,2016-09-02,4,2,9,2016,rock,my woman,"Sep 2, 2016",87.0,8.4,
22243,crystal castles,http://pitchfork.com/reviews/albums/22243-amnesty-i/,6.8,0,evan rytlewski,contributor,2016-08-30,1,30,8,2016,electronic,amnesty (i),"Aug 19, 2016",67.0,7.3,
22256,cass mccombs,http://pitchfork.com/reviews/albums/22256-mangy-love/,8.1,0,sam sodomsky,associate staff writer,2016-08-29,0,29,8,2016,rock,mangy love,"Aug 26, 2016",81.0,7.6,
22295,frank ocean,http://pitchfork.com/reviews/albums/22295-blonde-endless/,9.0,1,ryan dombal,senior editor,2016-08-25,3,25,8,2016,pop/r&b,blonde,"Aug 20, 2016",87.0,8.8,
22241,mild high club,http://pitchfork.com/reviews/albums/22241-skiptracing/,6.8,0,benjamin scheim,contributor,2016-08-23,1,23,8,2016,rock,skiptracing,"Aug 26, 2016",68.0,8.3,
22210,atmosphere,http://pitchfork.com/reviews/albums/22210-fishing-blues/,5.6,0,sheldon pearce,associate staff writer,2016-08-18,3,18,8,2016,rap,fishing blues,"Aug 12, 2016",71.0,7.7,
22226,alex cameron,http://pitchfork.com/reviews/albums/22226-jumping-the-shark/,7.8,0,benjamin scheim,contributor,2016-08-17,2,17,8,2016,rock,jumping the shark,"Aug 19, 2016",76.0,8.5,
22020,rae sremmurd,http://pitchfork.com/reviews/albums/22020-sremmlife-2/,7.6,0,sheldon pearce,associate staff writer,2016-08-15,0,15,8,2016,rap,sremmlife 2,"Aug 12, 2016",75.0,7.0,
22215,slow club,http://pitchfork.com/reviews/albums/22215-one-day-all-of-this-wont-matter-any-more/,7.4,0,pat healy,contributor,2016-08-15,0,15,8,2016,rock,one day all of this won't matter any more,"Aug 19, 2016",73.0,7.8,
22225,roosevelt,http://pitchfork.com/reviews/albums/22225-roosevelt/,7.0,0,cameron cook,contributor,2016-08-15,0,15,8,2016,electronic,roosevelt,"Aug 19, 2016",73.0,8.5,
22198,ryley walker,http://pitchfork.com/reviews/albums/22198-golden-sings-that-have-been-sung/,6.5,0,benjamin scheim,contributor,2016-08-13,5,13,8,2016,folk/country,golden sings that have been sung,"Aug 19, 2016",80.0,6.8,
22150,of montreal,http://pitchfork.com/reviews/albums/22150-innocence-reaches/,6.3,0,evan rytlewski,contributor,2016-08-11,3,11,8,2016,rock,innocence reaches,"Aug 12, 2016",68.0,7.1,
22197,dj snake,http://pitchfork.com/reviews/albums/22197-encore/,5.3,0,matthew schnipper,managing editor,2016-08-11,3,11,8,2016,electronic,encore,"Aug 5, 2016",62.0,6.2,
22151,katie dey,http://pitchfork.com/reviews/albums/22151-flood-network/,7.8,0,jazz monroe,associate staff writer,2016-08-10,2,10,8,2016,electronic,flood network,"Aug 12, 2016",77.0,7.6,
22209,tobacco,http://pitchfork.com/reviews/albums/22209-sweatbox-dynasty/,6.7,0,nathan reese,contributor,2016-08-09,1,9,8,2016,electronic,sweatbox dynasty,"Aug 19, 2016",67.0,7.0,
22139,wild beasts,http://pitchfork.com/reviews/albums/22139-boy-king/,6.8,0,laura snapes,contributor,2016-08-08,0,8,8,2016,rock,boy king,"Aug 5, 2016",78.0,8.0,
22187,haley bonar,http://pitchfork.com/reviews/albums/22187-impossible-dream/,6.8,0,evan rytlewski,contributor,2016-08-04,3,4,8,2016,folk/country,impossible dream,"Aug 5, 2016",77.0,7.0,
22136,lil durk,http://pitchfork.com/reviews/albums/22136-lil-durk-2x/,7.7,0,sheldon pearce,associate staff writer,2016-07-28,3,28,7,2016,rap,lil durk 2x,"Jul 22, 2016",74.0,5.8,
22157,gucci mane,http://pitchfork.com/reviews/albums/22157-gucci-mane-everybody-looking/,7.0,0,david drake,contributor,2016-07-26,1,26,7,2016,rap,everybody looking,"Jul 22, 2016",72.0,7.9,
21886,michael kiwanuka,http://pitchfork.com/reviews/albums/21886-love-hate/,6.9,0,marcus j. moore,contributor,2016-07-25,0,25,7,2016,pop/r&b,love & hate,"Jul 15, 2016",86.0,8.4,
22156,jamila woods,http://pitchfork.com/reviews/albums/22156-heavn/,8.4,1,kris ex,contributor,2016-07-21,3,21,7,2016,pop/r&b,heavn,"Oct 6, 2017",83.0,8.3,
22135,dreezy,http://pitchfork.com/reviews/albums/22135-no-hard-feelings/,7.7,0,sheldon pearce,associate staff writer,2016-07-21,3,21,7,2016,rap,no hard feelings,"Jul 22, 2016",73.0,7.8,
22120,ian william craig,http://pitchfork.com/reviews/albums/22120-ian-william-craig-centres/,8.2,0,benjamin scheim,contributor,2016-07-20,2,20,7,2016,experimental,centres,"Jul 8, 2016",86.0,7.5,
22109,badbadnotgood,http://pitchfork.com/reviews/albums/22109-iv/,7.1,0,kevin lozano,tracks coordinator,2016-07-19,1,19,7,2016,jazz,iv,"Jul 8, 2016",77.0,8.5,
22101,clams casino,http://pitchfork.com/reviews/albums/22101-32-levels/,6.9,0,mehan jayasuriya,contributor,2016-07-18,0,18,7,2016,rap,32 levels,"Jul 15, 2016",76.0,7.2,
22073,the julie ruin,http://pitchfork.com/reviews/albums/22073-hit-reset/,8.2,0,laura snapes,contributor,2016-07-16,5,16,7,2016,rock,hit reset,"Jul 8, 2016",78.0,8.3,
22094,schoolboy q,http://pitchfork.com/reviews/albums/22094-blank-face-lp/,8.3,1,jonah bromwich,contributor,2016-07-14,3,14,7,2016,rap,blank face lp,"Jul 8, 2016",81.0,8.4,
22071,araabmuzik,http://pitchfork.com/reviews/albums/22071-dream-world/,6.1,0,kathy iandoli,contributor,2016-07-11,0,11,7,2016,electronic,dream world,"Jul 5, 2016",67.0,5.8,
22060,metronomy,http://pitchfork.com/reviews/albums/22060-summer-08/,7.2,0,laura snapes,contributor,2016-07-09,5,9,7,2016,pop/r&b,summer 08,"Jul 1, 2016",74.0,7.5,
22065,the avalanches,http://pitchfork.com/reviews/albums/22065-wildflower/,8.5,1,mark richardson,executive editor,2016-07-08,4,8,7,2016,electronic,wildflower,"Jul 8, 2016",83.0,8.3,
22067,bat for lashes,http://pitchfork.com/reviews/albums/22067-the-bride/,7.6,0,cameron cook,contributor,2016-07-05,1,5,7,2016,rock,the bride,"Jul 1, 2016",78.0,7.6,
22052,blood orange,http://pitchfork.com/reviews/albums/22052-blood-orange-freetown-sound/,8.8,1,marcus j. moore,contributor,2016-06-30,3,30,6,2016,pop/r&b,freetown sound,"Jun 28, 2016",82.0,8.6,
22029,lets eat grandma,http://pitchfork.com/reviews/albums/22029-i-gemini/,7.3,0,saby reyes-kulkarni,contributor,2016-06-30,3,30,6,2016,pop/r&b,"i, gemini","Jun 17, 2016",78.0,8.5,
21985,the avett brothers,http://pitchfork.com/reviews/albums/21985-true-sadness/,3.8,0,allison hussey,contributor,2016-06-27,0,27,6,2016,rock,true sadness,"Jun 24, 2016",68.0,5.1,
22058,yumi zouma,http://pitchfork.com/reviews/albums/22058-yoncalla/,7.4,0,patrick st. michel,contributor,2016-06-27,0,27,6,2016,pop/r&b,yoncalla,"May 27, 2016",77.0,8.5,
21719,laura mvula,http://pitchfork.com/reviews/albums/21719-the-dreaming-room/,7.8,0,jia tolentino,contributor,2016-06-24,4,24,6,2016,pop/r&b,the dreaming room,"Jun 17, 2016",82.0,8.5,
22048,wye oak,http://pitchfork.com/reviews/albums/22048-wye-oak-tween/,8.0,0,ian cohen,contributor,2016-06-23,3,23,6,2016,rock,tween,"Aug 5, 2016",78.0,7.8,
21970,mitski,http://pitchfork.com/reviews/albums/21970-puberty-2/,8.5,1,jillian mapes,senior editor,2016-06-22,2,22,6,2016,rock,puberty 2,"Jun 17, 2016",87.0,8.6,
21988,yg,http://pitchfork.com/reviews/albums/21988-yg-still-brazy/,8.0,0,sheldon pearce,associate staff writer,2016-06-21,1,21,6,2016,rap,still brazy,"Jun 17, 2016",83.0,8.5,
21992,red hot chili peppers,http://pitchfork.com/reviews/albums/21992-the-getaway/,5.4,0,zoe camp,contributor,2016-06-20,0,20,6,2016,rock,the getaway,"Jun 17, 2016",66.0,7.9,
21951,weval,http://pitchfork.com/reviews/albums/21951-weval/,8.0,0,benjamin scheim,contributor,2016-06-20,0,20,6,2016,electronic,weval,"Jun 10, 2016",79.0,7.8,
21982,nails,http://pitchfork.com/reviews/albums/21982-you-will-never-be-one-of-us/,7.8,0,colin joyce,contributor,2016-06-18,5,18,6,2016,metal,you will never be one of us,"Jun 17, 2016",87.0,6.6,
21973,neil young,http://pitchfork.com/reviews/albums/21973-earth/,6.5,0,sam sodomsky,associate staff writer,2016-06-17,4,17,6,2016,rock,earth,"Jun 24, 2016",65.0,8.2,
21726,jake bugg,http://pitchfork.com/reviews/albums/21726-on-my-one/,3.0,0,laura snapes,contributor,2016-06-17,4,17,6,2016,rock,on my one,"Jun 17, 2016",59.0,6.9,
21953,garbage,http://pitchfork.com/reviews/albums/21953-strange-little-birds/,7.0,0,zoe camp,contributor,2016-06-10,4,10,6,2016,rock,strange little birds,"Jun 10, 2016",75.0,8.1,
21978,paul simon,http://pitchfork.com/reviews/albums/21978-stranger-to-stranger/,7.2,0,mike powell,contributor,2016-06-09,3,9,6,2016,rock,stranger to stranger,"Jun 3, 2016",85.0,8.0,
21952,tegan and sara,http://pitchfork.com/reviews/albums/21952-love-you-to-death/,7.1,0,cameron cook,contributor,2016-06-08,2,8,6,2016,rock,love you to death,"Jun 3, 2016",78.0,8.2,
21872,mourn,http://pitchfork.com/reviews/albums/21872-ha-ha-he/,6.0,0,ian cohen,contributor,2016-06-08,2,8,6,2016,rock,"ha, ha, he.","Jun 3, 2016",76.0,8.3,
21954,xenia rubinos,http://pitchfork.com/reviews/albums/21954-xenia-rubinos-black-terry-cat/,8.0,0,laura snapes,contributor,2016-06-08,2,8,6,2016,rock,black terry cat,"Jun 3, 2016",82.0,8.0,
21828,big thief,http://pitchfork.com/reviews/albums/21828-masterpiece/,7.7,0,jillian mapes,senior editor,2016-06-06,0,6,6,2016,rock,masterpiece,"May 27, 2016",79.0,8.6,
21873,steve gunn,http://pitchfork.com/reviews/albums/21873-eyes-on-the-lines/,8.0,0,marc masters,contributor,2016-06-04,5,4,6,2016,folk/country,eyes on the lines,"Jun 3, 2016",83.0,6.7,
21932,fifth harmony,http://pitchfork.com/reviews/albums/21932-727/,6.2,0,katherine st. asaph,contributor,2016-06-03,4,3,6,2016,pop/r&b,7/27,"May 27, 2016",70.0,7.8,
21921,flume,http://pitchfork.com/reviews/albums/21921-skin/,6.4,0,stacey anderson,associate features editor,2016-06-02,3,2,6,2016,electronic,skin,"May 27, 2016",75.0,8.4,
21723,holy fuck,http://pitchfork.com/reviews/albums/21723-congrats/,6.6,0,ian cohen,contributor,2016-06-01,2,1,6,2016,electronic,congrats,"May 27, 2016",78.0,8.6,
21917,beth orton,http://pitchfork.com/reviews/albums/21917-kidsticks/,7.6,0,philip sherburne,contributing editor,2016-05-31,1,31,5,2016,rock,kidsticks,"May 27, 2016",72.0,8.3,
21943,minor victories,http://pitchfork.com/reviews/albums/21943-minor-victories/,6.0,0,evan rytlewski,contributor,2016-05-31,1,31,5,2016,rock,minor victories,"Jun 3, 2016",75.0,7.3,
